ID,Survey status,Preferred language,hWave : WAVE TRACKER - WAVE TRACKER,Consent to participate,Province,Province/region,Age group,Age group,Gender identity,Gender identity,"Q4_1 : I, or someone close to me, has tested positive for COVID-19 ","Q4_2 : I, or someone close to me, has had symptoms of COVID-19 but has not been tested ","Q4_3 : I, or someone close to me, has been tested for COVID-19 but it was negative","Q4_4 : I, or someone close to me, is elderly and/or has a health condition that increases the risk of serious illness from COVID-19 ",Q4_5 : I have a job that exposes me to high risk of getting COVID-19 ,Q4_6 : Someone close to me has a job that exposes them to high risk of getting COVID-19 ,Q4_99 : None of the above,Q5 : How worried are you about the impact of COVID-19 on your personal financial situation?,Q5 : ENCODED,Q6 : How have physical distancing measures due to the COVID-19 pandemic affected your employment situation? ,Q6 : ENCODED,"Q6b : On average, how has the number of hours you are working for pay been affected by the COVID-19 pandemic? ",Q6b : ENCODED,Q7 : How worried are you that you or someone close to you (close relative or friend) will get ill from COVID-19?,Q7 : ENCODED,"Q8x1 : P2W frequency - Feeling nervous, anxious or on edge",Q8x1 : ENCODED,Q8x2 : P2W frequency - Not being able to stop or control worrying,Q8x2 : ENCODED,Q8x3 : P2W frequency - Worrying too much about different things,Q8x3 : ENCODED,Q8x4 : P2W frequency - Trouble relaxing,Q8x4 : ENCODED,Q8x5 : P2W frequency - Being so restless that it?s hard to sit still,Q8x5 : ENCODED,Q8x6 : P2W frequency - Becoming easily annoyed or irritable,Q8x6 : ENCODED,Q8x7 : P2W frequency - Feeling afraid as if something awful might happen,Q8x7 : ENCODED,"Q15 : During the PAST 7 DAYS, on how many days did you drink ALCOHOL?",Q15 : ENCODED,Q16 : Q16 - On how many of the PAST 7 DAYS did you drink 4 or more  drinks on one occasion? ,"Q17 : In the PAST 7 DAYS, did you drink more ALCOHOL, about the same, or less alcohol overall than you did before the COVID-19 pandemic started?",Q17 : ENCODED,"Q18 : During the PAST 7 DAYS, on how many days did you use CANNABIS (also known as marijuana, hash, 'pot')?",Q18 : ENCODED,"Q19 : In the PAST 7 DAYS, did you use CANNABIS more often, about the same, or less often overall than you did before the COVID-19 pandemic started? ",Q19 : ENCODED,"Q20x1 : In the PAST 7 DAYS, how often have you felt depressed? ",Q20x1 : ENCODED,"Q20x2 : In the PAST 7 DAYS, how often have you felt lonely?",Q20x2 : ENCODED,"Q20x3 : In the PAST 7 DAYS, how often have you felt hopeful about the future? ",Q20x3 : ENCODED,"Q23 : Including yourself, how many people are currently living in your household?",Live alone or with others?,Live alone or with others? ENCODED,Q24_1 : How many children <6 years old live in your household?,Q24_2 : How many children between the ages of 6 and 12 years old live in your household?,Q24_3 : How many children between the ages of 12 and 17 years old live in your household?,Q24DK_96 : Prefer  not to answer the age of children living in my household,hChildren : Do you have children living in your household?,hChildren : ENCODED,Q25 : What is the highest level of education you have completed?,Q25 : ENCODED,Q26 : What is your current marital status?,Q26 : ENCODED,Q27 : Which of the following best describes your racial or ethnic group? ,Q28 : Total household income received in the 2019 year before taxes?,hIncome : Total household income received in the 2019 year before taxes?,hIncome : ENCODED,Q29 : Area you consider to be living in,Q29 : ENCODED
94,complete,English,1,"Yes, I agree to participate",Alberta,AB,30 to 39 years,18-39,Man,Male,0,0,0,0,0,1,0,Not very worried,2,"No change - I have continued working outside my home, as I always did",3,No change,1,Not very worried,2,Not at all,1,Not at all,1,Not at all,1,Not at all,1,Not at all,1,Not at all,1,Not at all,1,5,5,3,Drink slightly more alcohol,4,0,0,,,Rarely or none of the time (less than 1 day),1,Some or a little of the time (1-2 days),2,Most or all of the time (5-7 days),4,2,Live with others,1,0,0,0,0,No Kids,0,University diploma / degree,5,Married,5,"White (European, North American)","$140,000 or more",120k+,4,Urban area,3
2484,complete,English,1,"Yes, I agree to participate",Prince Edward Island,QC/ATL,40 to 49 years,40-59,Man,Male,0,0,1,0,0,1,0,Somewhat worried,3,"I have continued working, but now I am working from home instead of my usual location",7,Increased somewhat,2,Somewhat worried,3,Not at all,1,Several days,2,Not at all,1,Not at all,1,Several days,2,Several days,2,Not at all,1,3,3,3,Drink slightly less alcohol,2,0,0,,,Rarely or none of the time (less than 1 day),1,Rarely or none of the time (less than 1 day),1,Occasionally or a moderate amount of the time (3-4 days),3,4,Live with others,1,0,2,0,0,Kids,1,University diploma / degree,5,Married,5,"Asian ? East (e.g., Chinese, Japanese, Korean)","$60,000  -  $79,999",40-79k,2,Urban area,3
2154,complete,English,1,"Yes, I agree to participate",Ontario,ON,40 to 49 years,40-59,Man,Male,1,0,0,1,0,1,0,Somewhat worried,3,"I have continued working, but now I am working from home instead of my usual location",7,No change,1,Very worried,4,Nearly every day,4,Nearly every day,4,Over half the days,3,Over half the days,3,Several days,2,Nearly every day,4,Nearly every day,4,0,0,,,,7,7,No change,3,Occasionally or a moderate amount of the time (3-4 days),3,Rarely or none of the time (less than 1 day),1,Occasionally or a moderate amount of the time (3-4 days),3,3,Live with others,1,1,0,0,0,Kids,1,University diploma / degree,5,Married,5,"White (European, North American)","$80,000  -  $99,999",80-119k,3,Suburban area,2
1902,complete,English,1,"Yes, I agree to participate",Ontario,ON,30 to 39 years,18-39,Woman,Female,0,0,1,1,0,0,0,Somewhat worried,3,"I am not currently working, or I have been laid off/let go, due to the pandemic",6,,0,Not very worried,2,Over half the days,3,Several days,2,Nearly every day,4,Over half the days,3,Not at all,1,Nearly every day,4,Several days,2,5,5,0,Drink much more alcohol,5,I do not use cannabis,-1,,,Some or a little of the time (1-2 days),2,Occasionally or a moderate amount of the time (3-4 days),3,Rarely or none of the time (less than 1 day),1,2,Live with others,1,0,0,0,0,No Kids,0,University diploma / degree,5,Living with a partner,5,"White (European, North American)","$120,000  -  $139,999",120k+,4,Urban area,3
2997,complete,English,1,"Yes, I agree to participate",Ontario,ON,40 to 49 years,40-59,Woman,Female,0,0,0,0,0,1,0,Somewhat worried,3,"I have continued working, but now I am working from home instead of my usual location",7,Decreased somewhat,4,Very worried,4,Nearly every day,4,Nearly every day,4,Nearly every day,4,Nearly every day,4,Nearly every day,4,Nearly every day,4,Nearly every day,4,0,0,,,,I do not use cannabis,-1,,,Occasionally or a moderate amount of the time (3-4 days),3,Most or all of the time (5-7 days),4,Some or a little of the time (1-2 days),2,2,Live with others,1,0,0,0,0,No Kids,0,"Some post-high school education (college, technical, university, etc.)",3,Married,5,"White (European, North American)",Prefer not to answer,Prefer not to answer,0,Urban area,3
2276,complete,English,1,"Yes, I agree to participate",Ontario,ON,50 to 59 years,40-59,Man,Male,0,0,0,1,1,0,0,Somewhat worried,3,"I am not currently working, or I have been laid off/let go, due to the pandemic",6,,0,Somewhat worried,3,Over half the days,3,Several days,2,Several days,2,Several days,2,Several days,2,Not at all,1,Several days,2,2,2,0,Drink slightly more alcohol,4,6,6,Much more,5,Some or a little of the time (1-2 days),2,Rarely or none of the time (less than 1 day),1,Most or all of the time (5-7 days),4,2,Live with others,1,0,0,0,0,No Kids,0,"Some post-high school education (college, technical, university, etc.)",3,Widowed,4,Mixed heritage (e.g. Black ? North American & White ? North American),"$40,000  -  $59,999",40-79k,2,Urban area,3
2642,complete,English,1,"Yes, I agree to participate",Alberta,AB,70 years and over,60+,Woman,Female,0,0,0,1,0,0,0,Very worried,4,"No change - I have continued working from home, as I always did",2,No change,1,Very worried,4,Over half the days,3,Several days,2,Over half the days,3,Over half the days,3,Over half the days,3,Several days,2,Several days,2,0,0,,,,0,0,,,Some or a little of the time (1-2 days),2,Most or all of the time (5-7 days),4,Occasionally or a moderate amount of the time (3-4 days),3,1,Live alone,0,,,,,No Kids,0,Completed high school,2,Divorced,3,"White (European, North American)","$20,000  -  $39,999",Less than 40k,1,Suburban area,2
6719,complete,English,1,"Yes, I agree to participate",Ontario,ON,70 years and over,60+,Man,Male,0,0,0,1,0,0,0,Somewhat worried,3,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",1,,0,Very worried,4,Several days,2,Several days,2,Several days,2,Several days,2,Not at all,1,Several days,2,Several days,2,0,0,,,,0,0,,,Some or a little of the time (1-2 days),2,Some or a little of the time (1-2 days),2,Rarely or none of the time (less than 1 day),1,2,Live with others,1,,,,1,No Kids,0,University diploma / degree,5,Married,5,"White (European, North American)","$100,000  -  $119,999",80-119k,3,Urban area,3
1749,complete,English,1,"Yes, I agree to participate",Ontario,ON,60 to 69 years,60+,Man,Male,0,0,0,0,0,0,1,Not at all worried,1,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",1,,0,Somewhat worried,3,Over half the days,3,Several days,2,Several days,2,Several days,2,Not at all,1,Several days,2,Not at all,1,4,4,0,No change,3,0,0,,,Rarely or none of the time (less than 1 day),1,Rarely or none of the time (less than 1 day),1,Some or a little of the time (1-2 days),2,2,Live with others,1,0,0,0,0,No Kids,0,University diploma / degree,5,Married,5,Other,"$120,000  -  $139,999",120k+,4,Urban area,3
2791,complete,English,1,"Yes, I agree to participate",Ontario,ON,30 to 39 years,18-39,Man,Male,0,0,0,0,0,0,1,Somewhat worried,3,"I have continued working, but now I am working from home instead of my usual location",7,No change,1,Somewhat worried,3,Not at all,1,Not at all,1,Several days,2,Not at all,1,Not at all,1,Not at all,1,Several days,2,0,0,,,,0,0,,,Rarely or none of the time (less than 1 day),1,Rarely or none of the time (less than 1 day),1,Occasionally or a moderate amount of the time (3-4 days),3,4,Live with others,1,2,0,0,0,Kids,1,University diploma / degree,5,Married,5,"Asian ? East (e.g., Chinese, Japanese, Korean)","$140,000 or more",120k+,4,Suburban area,2
